cohort_month,cash_request_id,status,cash_request_amount
2020-07,9079.0,[4 4],200.0
2020-07,9110.0,[3 3],100.0
2020-07,9213.0,[4 4],100.0
2020-07,9333.0,4,60.0
2020-07,9440.0,[4 4],100.0
2020-07,9466.0,[3 3],200.0
2020-07,9467.0,[4 4],200.0
2020-07,9585.0,3,70.0
2020-07,9595.0,3,50.0
2020-07,9667.0,[3 3],100.0
2020-07,9670.0,3,100.0
2020-07,9713.0,3,50.0
2020-07,9720.0,[4 4],60.0
2020-07,9797.0,,100.0
2020-07,9816.0,4,70.0
2020-07,9822.0,[2 4],100.0
2020-07,9894.0,[3 3],200.0
2020-07,9984.0,3,100.0
2020-07,10019.0,3,100.0
2020-07,10092.0,3,100.0
2020-07,10128.0,[3 3],100.0
2020-07,10132.0,3,100.0
2020-07,10133.0,3,100.0
2020-07,10158.0,[4 4],200.0
2020-07,10173.0,4,50.0
2020-07,10229.0,3,100.0
2020-07,10235.0,3,50.0
2020-07,10267.0,[4 4],200.0
2020-07,10315.0,3,100.0
2020-07,10342.0,[3 3],200.0
2020-07,10349.0,3,100.0
2020-07,10378.0,[4 2],100.0
2020-07,10396.0,4,100.0
2020-07,10397.0,4,100.0
2020-08,10436.0,4,50.0
2020-08,10455.0,2,100.0
2020-08,10487.0,[2 2],100.0
2020-08,10513.0,3,100.0
2020-08,10585.0,4,100.0
2020-08,10604.0,2,100.0
2020-08,10619.0,3,70.0
2020-08,10761.0,4,100.0
2020-08,10765.0,4,50.0
2020-08,10777.0,3,100.0
2020-08,10914.0,[3 3],100.0
2020-08,10951.0,3,50.0
2020-08,10965.0,3,100.0
2020-08,11042.0,[4 4],200.0
2020-08,11072.0,4,100.0
2020-08,11140.0,4,100.0
2020-08,11336.0,4,50.0
2020-08,11369.0,4,50.0
2020-08,11398.0,4,50.0
2020-08,11427.0,3,100.0
2020-08,11428.0,3,100.0
2020-08,11445.0,3,100.0
2020-08,11461.0,2,50.0
2020-08,11495.0,4,100.0
2020-08,11503.0,2,100.0
2020-08,11668.0,4,100.0
2020-08,11689.0,4,100.0
2020-08,11707.0,4,100.0
2020-08,11714.0,3,100.0
2020-08,11764.0,3,100.0
2020-08,11800.0,3,100.0
2020-08,11840.0,4,50.0
2020-08,11875.0,3,100.0
2020-08,11877.0,4,100.0
2020-08,11882.0,4,100.0
2020-08,11954.0,4,50.0
2020-08,12001.0,3,100.0
